Entity,Code,Year,Researchers in R&D (per million people)
Albania,ALB,2008,157.343643188477
Algeria,DZA,2005,168.120086669922
American Samoa,ASM,2002,85.1368103027344
American Samoa,ASM,2003,405.974578857422
American Samoa,ASM,2004,151.867980957031
American Samoa,ASM,2005,101.49365234375
Angola,AGO,2011,52.4101905822754
Argentina,ARG,1997,692.192443847656
Argentina,ARG,1998,701.376770019531
Argentina,ARG,1999,709.560180664063
Argentina,ARG,2000,712.947021484375
Argentina,ARG,2001,684.679748535156
Argentina,ARG,2002,688.397583007813
Argentina,ARG,2003,714.366333007813
Argentina,ARG,2004,760.958679199219
Argentina,ARG,2005,814.091186523438
Argentina,ARG,2006,885.771179199219
Argentina,ARG,2007,967.753173828125
Argentina,ARG,2008,1028.2587890625
Argentina,ARG,2009,1032.76965332031
Argentina,ARG,2010,1120.70751953125
Argentina,ARG,2011,1177.00402832031
Argentina,ARG,2012,1199.40405273438
Argentina,ARG,2013,1193.85375976563
Argentina,ARG,2014,1202.07067871094
Australia,AUS,1996,3332.22119140625
Australia,AUS,1998,3360.08935546875
Australia,AUS,2000,3454.25927734375
Australia,AUS,2002,3749.6953125
Australia,AUS,2004,4062.525390625
Australia,AUS,2006,4231.77880859375
Australia,AUS,2008,4335.39013671875
Australia,AUS,2010,4530.72802734375
Austria,AUT,1998,2332.59545898438
Austria,AUT,2002,2972.88940429688
Austria,AUT,2004,3166.57202148438
Austria,AUT,2005,3457.2060546875
Austria,AUT,2006,3530.9453125
Austria,AUT,2007,3815.74438476563
Austria,AUT,2008,4141.9248046875
Austria,AUT,2009,4145.7001953125
Austria,AUT,2010,4359.02783203125
Austria,AUT,2011,4405.95263671875
Austria,AUT,2012,4653.26806640625
Austria,AUT,2013,4763.25927734375
Austria,AUT,2014,4814.5478515625
Bahrain,BHR,2014,361.986297607422
Belgium,BEL,1996,2467.310546875
Belgium,BEL,1997,2574.3515625
Belgium,BEL,1998,2700.6328125
Belgium,BEL,1999,2904.20971679688
Belgium,BEL,2000,2974.1435546875
Belgium,BEL,2001,3126.318359375
Belgium,BEL,2002,2958.92260742188
Belgium,BEL,2003,2965.3388671875
Belgium,BEL,2004,3087.91455078125
Belgium,BEL,2005,3138.400390625
Belgium,BEL,2006,3280.5517578125
Belgium,BEL,2007,3392.71557617188
Belgium,BEL,2008,3411.626953125
Belgium,BEL,2009,3521.6552734375
Belgium,BEL,2010,3735.8232421875
Belgium,BEL,2011,3878.69995117188
Belgium,BEL,2012,4115.45458984375
Belgium,BEL,2013,4156.244140625
Belgium,BEL,2014,4175.88232421875
Bolivia,BOL,1998,73.5087432861328
Bolivia,BOL,1999,73.3253402709961
Bolivia,BOL,2000,71.946662902832
Bolivia,BOL,2001,123.582069396973
Bolivia,BOL,2002,120.184768676758
Bolivia,BOL,2009,145.714645385742
Bolivia,BOL,2010,165.954254150391
Bosnia and Herzegovina,BIH,2003,60.7044792175293
Bosnia and Herzegovina,BIH,2004,62.4051208496094
Bosnia and Herzegovina,BIH,2005,65.9504699707031
Bosnia and Herzegovina,BIH,2006,174.839736938477
Bosnia and Herzegovina,BIH,2007,194.033569335938
Bosnia and Herzegovina,BIH,2012,150.793319702148
Bosnia and Herzegovina,BIH,2013,216.68440246582
Bosnia and Herzegovina,BIH,2014,266.689086914063
