Year;Code;1.a.2 health-expenditure-government-expenditure;2.3.1 agriculture-value-added-per-worker-wdi;3.8.1 healthcare-access-and-quality-index;4.3.1 gross-enrollment-ratio-in-tertiary-education;5.5.1 seats-held-by-women-in-national-parliament;6.4.1 water-productivity;7.2.1 renewables-share-final-energy;7.3.1 energy-intensity-of-economie;8.1.1 gdp-per-capita-worldbank;9.2.2 industry-share-of-total-emplyoment;9.4.1 cco2-intensity;9.5.2 researchers-in-rd-per-million-people;11.6.2 PM25-air-pollution;12.2.2 domestic-material-consumption-per-capita;12.5.1 municipal-waste-recycled;13.2.1 co-emissions-per-capita;15.1.1 forest-area-as-share-of-land-area;16.1.1 intentional-homicides-per-100000-people
2000;AFG;;;24.8;;;;54.2431263698384;0.4683817979903803;;11.014;0.045894941;;64.922461997785;2.29023;;0.036461598;1.8509940875532276;
2001;AFG;;;;;;;54.0550550388989;0.5076112079095582;;12.037;0.051234027;;;1.97639;;0.036930717;1.8509940875532276;
2002;AFG;8.98702764;872.846684413528;;;;0.368066000848238;43.7711485658802;0.3778565694588971;1189.78466765718;10.048;0.04095561;;;2.09549;;0.046529313;1.8509940875532276;
2003;AFG;5.57518482;856.625361386492;;1.25683999061584;;;42.2761408803626;0.368063698027909;1235.81006329565;10.227;0.042651576;;;2.03285;;0.050080275;1.8509940875532276;
2004;AFG;6.98490607;657.038802790054;;1.25602996349335;;;49.8431476956196;0.317777020434299;1200.27801321734;11.414;0.031256215;;;1.95021;;0.035959356;1.8509940875532276;
2005;AFG;5.49062004;724.391296995919;27.1;;27.3092369477912;;40.8591712168299;0.3521245156108621;1286.79365893927;11.184;0.041691675;;64.5226827135877;2.06467;;0.050801707;1.8509940875532276;
2006;AFG;6.29710557;686.918524520069;;;27.3092369477912;;37.1372494911803;0.3912845164365489;1315.78911741835;11.535;0.047912525;;;1.78214;;0.0618688;1.8509940875532276;
2007;AFG;2.94919278;776.617706989088;;;27.6859504132231;0.54188909904695;33.8625788265031;0.4058163176634222;1460.8257513794;11.182;0.057246099;;;1.81572;;0.083709273;1.8509940875532276;
2008;AFG;6.92608989;677.089407829604;;;27.6859504132231;;21.3437080759002;0.5965532305103805;1484.11446132539;11.393;0.10353467;;;1.76317;;0.151487266;1.8509940875532276;
2009;AFG;12.7289712;940.094350290769;;3.9033899307251;27.3092369477912;;17.8138547564602;0.7269618032342996;1758.90447663765;9.455;0.141775445;;;2.03859;;0.237364888;1.8509940875532276;3.9267744953
2010;AFG;14.40415287;900.047743700361;29.4;;27.710843373494;;14.8398059645804;0.8166496972954437;1957.02906990812;9.409;0.171142653;;65.2455916800454;2.07342;;0.287733125;1.8509940875532276;3.3681096075
2011;AFG;10.17410763;820.402491643305;;3.75598001480103;27.710843373494;;11.4827062291243;1.043312865822014;1904.55992565594;9.885;0.227013309;;66.8357271071327;1.95499;;0.401958628;1.8509940875532276;4.0873367236
2012;AFG;11.668976;933.969384462171;;;27.710843373494;0.885261667791393;13.9735856888609;0.8290998787594253;2075.49161435331;9.244;0.172706597;;66.02317421224;2.02642;;0.327926382;1.8509940875532276;6.2513281666
2013;AFG;10.591285;890.834083494975;;;27.710843373494;;16.3342925084743;0.7642177538821391;2116.46525771251;9.283;0.133993815;;61.3667445152584;2.00832;;0.261566966;1.8509940875532276;
2014;AFG;11.99862788;842.63969320705;;8.66279983520508;27.710843373494;;19.3142686133983;0.7326485218810875;2102.38460375974;9.699;0.120820672;;59.0103302514867;1.95029;;0.232966947;1.8509940875532276;
2015;AFG;;761.461512766892;32.5;;27.710843373494;;18.4234771693218;0.6826963801060144;2068.26590413364;9.94;0.125895281;;61.2526557952932;1.93235;;0.229677835;1.8509940875532276;9.7839217823
2016;AFG;;768.519859920086;;;27.710843373494;;;;2057.06797755329;9.96;0.104897324;;56.2870467224308;1.91964;;0.190617754;1.8509940875532276;6.5511634561
2017;AFG;;;;;27.710843373494;1.02264273209669;;;2058.4002210698;9.958;;;56.9108083545081;1.91004;;0.188996721;1.8509940875532276;6.6784014409
